,bank_name,city,st,cert,acquiring_instituition,closing_date,time
0,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,1394410070
1,New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,1394410071
2,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,1394410072
3,Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,1394410073
4,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,1394410074
5,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,1394410075
6,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,1394410076
7,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,1394410077
8,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,1394410078
9,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,1394410079
10,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,1394410080
11,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,1394410081
12,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,1394410082
13,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,1394410083
14,Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,1394410084
15,County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,1394410085
16,Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,1394410086
17,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,1394410087
18,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",30-Jan-09,1394410088
19,Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,1394410089
20,MagnetBank,Salt Lake City,UT,58001,No Acquirer,30-Jan-09,1394410090
21,1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,1394410091
22,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,1394410092
23,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,16-Jan-09,1394410093
24,Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,1394410094
25,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,1394410095
26,First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,1394410096
27,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,1394410097
28,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,1394410098
29,Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,1394410099
30,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,1394410100
31,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,1394410101
32,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,1394410102
33,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,1394410103
34,Meridian Bank,Eldred,IL,13789,National Bank,10-Oct-08,1394410104
35,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,10-Oct-08,1394410105
36,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,1394410106
37,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",19-Sep-08,1394410107
38,Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,1394410108
39,Integrity Bank,Alpharetta,GA,35469,Regions Bank,29-Aug-08,1394410109
40,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,1394410110
41,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,1394410111
42,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,1394410112
43,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,1394410113
44,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",11-Jul-08,1394410114
45,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,1394410115
46,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,1394410116
47,Hume Bank,Hume,MO,1971,Security Bank,7-Mar-08,1394410117
48,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,1394410118
49,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,4-Oct-07,1394410119
50,NetBank,Alpharetta,GA,32575,ING DIRECT,28-Sep-07,1394410120
51,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2-Feb-07,1394410121
52,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,1394410122
53,Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,1394410123
54,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,1394410124
55,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,1394410125
56,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,1394410126
57,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,1394410127
58,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,1394410128
59,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,1394410129
60,Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,1394410130
61,AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,1394410131
62,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,1394410132
63,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,1394410133
64,New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,1394410134
65,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,1-Mar-02,1394410135
66,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,1394410136
67,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,1394410137
68,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,1394410138
69,"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,1394410139
70,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,1394410140
71,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,1394410141
72,Malta National Bank,Malta,OH,6629,North Valley Bank,3-May-01,1394410142
73,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,1394410143
74,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,14-Dec-00,1394410144
75,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,1394410145
76,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,1394409630
77,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,1394409631
78,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,1394409632
79,The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,1394409633
80,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,1394409634
81,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,1394409635
82,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,1394409636
83,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,1394409637
84,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",7-Jun-13,1394409638
85,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,1394409639
86,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,1394409640
87,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,1394409641
88,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,1394409642
89,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,1394409643
90,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,1394409644
91,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,1394409645
92,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,1394409646
93,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,1394409647
94,First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,1394409648
95,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,1394409649
96,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,1394409650
97,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,1394409651
98,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,1394409652
99,Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,1394409653
